Email_Body,Label
"Flash sale alert! 24 hours only, don’t miss it!",Promotions
Please find attached the presentation for the upcoming meeting. Let me know if you need anything else.,Work
I’m planning a surprise for Sarah’s birthday. Would you like to help?,Personal
I saw a great review of that restaurant you love. We should go next time!,Social
Have you seen the latest trends on Twitter? Let’s discuss it!,Social
It’s been so long since we talked. Hope everything’s great on your end!,Personal
Reminder: Your credit card payment is due in 3 days.,Finance
"Team, don’t forget to complete the training by the end of the week.",Work
"Flash sale alert! 24 hours only, don’t miss it!",Promotions
"I’ve joined a new group on Instagram, it’s all about travel. You should join!",Social
"Team, don’t forget to complete the training by the end of the week.",Work
"Don’t forget, the end of year tax filing deadline is approaching. Make sure all forms are submitted.",Finance
"Here’s a cool video I watched on YouTube today, thought you'd enjoy it!",Social
Please confirm your attendance for the conference next month. The deadline is approaching.,Work
Exclusive deal! Buy one get one free on all gadgets this weekend.,Promotions
Limited time promotion: Get an additional 20% off with your first online order.,Promotions
"I’ve joined a new group on Instagram, it’s all about travel. You should join!",Social
Let’s meet for coffee soon. I’ve got so much to tell you!,Personal
"Don’t miss out on this exclusive discount – buy more, save more on all our products.",Promotions
Please confirm your attendance for the conference next month. The deadline is approaching.,Work
Reminder: Your credit card payment is due in 3 days.,Finance
Please be aware that your mortgage payment is due next week.,Finance
Have you seen the latest trends on Twitter? Let’s discuss it!,Social
It’s been so long since we talked. Hope everything’s great on your end!,Personal
"Check out this amazing blog about travel destinations, I think you’ll love it!",Social
Can you believe how much time has passed since our last trip? We need another one!,Personal
Thank you for your recent deposit. Your new balance is now available online.,Finance
"Check out this influencer on TikTok, they’ve got great fashion tips!",Social
"Dear Team, please submit your project reports by EOD. Regards, Manager",Work
Thank you for your recent deposit. Your new balance is now available online.,Finance
"I found a great restaurant, you should try it. It’s amazing!",Personal
"Hurry, 30% off on electronics. Offer valid until stocks last!",Promotions
"Hey, I’m moving into a new place this weekend. Would love your help with the unpacking!",Personal
"I’ve joined a new group on Instagram, it’s all about travel. You should join!",Social
Your investment portfolio has been updated. Check your account for more details.,Finance
Your tax documents are now available for download. Please log in to your account.,Finance
Big clearance sale! Up to 70% off on all home appliances.,Promotions
"Don’t miss out on this exclusive discount – buy more, save more on all our products.",Promotions
Let’s meet for coffee soon. I’ve got so much to tell you!,Personal
Hey! Let's catch up over the weekend. How about we go to the movies?,Personal
Did you watch that new Netflix series I told you about? We should talk about it!,Personal
"I’ve joined a new group on Instagram, it’s all about travel. You should join!",Social
You have a new transaction alert for your bank account.,Finance
Your account has been credited with a refund of $100. Please check your balance.,Finance
Have you seen the latest trends on Twitter? Let’s discuss it!,Social
"Hey, I’m moving into a new place this weekend. Would love your help with the unpacking!",Personal
Let’s meet for coffee soon. I’ve got so much to tell you!,Personal
