Email_Body,Label,Predicted_Category
"Flash sale alert! 24 hours only, don’t miss it!",Promotions,Finance
Please find attached the presentation for the upcoming meeting. Let me know if you need anything else.,Work,Work
I’m planning a surprise for Sarah’s birthday. Would you like to help?,Personal,Finance
I saw a great review of that restaurant you love. We should go next time!,Social,Finance
Have you seen the latest trends on Twitter? Let’s discuss it!,Social,Finance
It’s been so long since we talked. Hope everything’s great on your end!,Personal,Finance
Reminder: Your credit card payment is due in 3 days.,Finance,Finance
"Team, don’t forget to complete the training by the end of the week.",Work,Finance
"Flash sale alert! 24 hours only, don’t miss it!",Promotions,Finance
"I’ve joined a new group on Instagram, it’s all about travel. You should join!",Social,Finance
"Team, don’t forget to complete the training by the end of the week.",Work,Finance
"Don’t forget, the end of year tax filing deadline is approaching. Make sure all forms are submitted.",Finance,Social
"Here’s a cool video I watched on YouTube today, thought you'd enjoy it!",Social,Finance
Please confirm your attendance for the conference next month. The deadline is approaching.,Work,Finance
Exclusive deal! Buy one get one free on all gadgets this weekend.,Promotions,Finance
Limited time promotion: Get an additional 20% off with your first online order.,Promotions,Social
"I’ve joined a new group on Instagram, it’s all about travel. You should join!",Social,Finance
Let’s meet for coffee soon. I’ve got so much to tell you!,Personal,Finance
"Don’t miss out on this exclusive discount – buy more, save more on all our products.",Promotions,Finance
Please confirm your attendance for the conference next month. The deadline is approaching.,Work,Finance
Reminder: Your credit card payment is due in 3 days.,Finance,Finance
Please be aware that your mortgage payment is due next week.,Finance,Finance
Have you seen the latest trends on Twitter? Let’s discuss it!,Social,Finance
It’s been so long since we talked. Hope everything’s great on your end!,Personal,Finance
"Check out this amazing blog about travel destinations, I think you’ll love it!",Social,Work
Can you believe how much time has passed since our last trip? We need another one!,Personal,Personal
Thank you for your recent deposit. Your new balance is now available online.,Finance,Social
"Check out this influencer on TikTok, they’ve got great fashion tips!",Social,Finance
"Dear Team, please submit your project reports by EOD. Regards, Manager",Work,Social
Thank you for your recent deposit. Your new balance is now available online.,Finance,Social
"I found a great restaurant, you should try it. It’s amazing!",Personal,Personal
"Hurry, 30% off on electronics. Offer valid until stocks last!",Promotions,Social
"Hey, I’m moving into a new place this weekend. Would love your help with the unpacking!",Personal,Finance
"I’ve joined a new group on Instagram, it’s all about travel. You should join!",Social,Finance
Your investment portfolio has been updated. Check your account for more details.,Finance,Social
Your tax documents are now available for download. Please log in to your account.,Finance,Personal
Big clearance sale! Up to 70% off on all home appliances.,Promotions,Finance
"Don’t miss out on this exclusive discount – buy more, save more on all our products.",Promotions,Finance
Let’s meet for coffee soon. I’ve got so much to tell you!,Personal,Finance
Hey! Let's catch up over the weekend. How about we go to the movies?,Personal,Personal
Did you watch that new Netflix series I told you about? We should talk about it!,Personal,Finance
"I’ve joined a new group on Instagram, it’s all about travel. You should join!",Social,Finance
You have a new transaction alert for your bank account.,Finance,Finance
Your account has been credited with a refund of $100. Please check your balance.,Finance,Finance
Have you seen the latest trends on Twitter? Let’s discuss it!,Social,Finance
"Hey, I’m moving into a new place this weekend. Would love your help with the unpacking!",Personal,Finance
Let’s meet for coffee soon. I’ve got so much to tell you!,Personal,Finance
Seasonal sale! All winter clothing at 40% off. Get yours before they run out!,Promotions,Social
Kindly make sure that the quarterly budget is finalized before the board meeting.,Work,Finance
Reminder: Your credit card payment is due in 3 days.,Finance,Finance
Did you watch that new Netflix series I told you about? We should talk about it!,Personal,Finance
Can you believe how much time has passed since our last trip? We need another one!,Personal,Personal
Your investment portfolio has been updated. Check your account for more details.,Finance,Social
Kindly make sure that the quarterly budget is finalized before the board meeting.,Work,Finance
I’ve started following this YouTube channel that reviews gadgets. You should check it out!,Social,Finance
"Dear colleagues, the new product launch is scheduled for next week. Be prepared.",Work,Personal
Your tax documents are now available for download. Please log in to your account.,Finance,Personal
"Don’t miss out on this exclusive discount – buy more, save more on all our products.",Promotions,Finance
You have a new transaction alert for your bank account.,Finance,Finance
"Here’s a cool video I watched on YouTube today, thought you'd enjoy it!",Social,Finance
Reminder: Your credit card payment is due in 3 days.,Finance,Finance
"Hello, I need the updated financial documents by tomorrow. Please get it done.",Work,Social
Thank you for your recent deposit. Your new balance is now available online.,Finance,Social
Reminder: The meeting is scheduled for 2 PM today. Make sure to attend.,Work,Finance
You have a new transaction alert for your bank account.,Finance,Finance
Limited time promotion: Get an additional 20% off with your first online order.,Promotions,Social
"I found a great restaurant, you should try it. It’s amazing!",Personal,Personal
I’ve started following this YouTube channel that reviews gadgets. You should check it out!,Social,Finance
Your account has been credited with a refund of $100. Please check your balance.,Finance,Finance
Did you watch that new Netflix series I told you about? We should talk about it!,Personal,Finance
"I saw an interesting post on Facebook today, you should check it out!",Social,Work
Here’s a funny meme I found today. You’ll laugh so much!,Social,Finance
Please find attached the presentation for the upcoming meeting. Let me know if you need anything else.,Work,Work
"Dear Customer, your loan application has been approved. Please review the details.",Finance,Personal
The client has requested an update on the marketing strategy. Please send the latest draft.,Work,Finance
Have you seen the latest trends on Twitter? Let’s discuss it!,Social,Finance
"Dear Customer, your loan application has been approved. Please review the details.",Finance,Personal
"Dear colleagues, the new product launch is scheduled for next week. Be prepared.",Work,Personal
"Flash sale alert! 24 hours only, don’t miss it!",Promotions,Finance
Let’s meet for coffee soon. I’ve got so much to tell you!,Personal,Finance
"Hey, I’m moving into a new place this weekend. Would love your help with the unpacking!",Personal,Finance
Free shipping on all orders this weekend only. Don’t let this opportunity pass!,Promotions,Social
I saw a great review of that restaurant you love. We should go next time!,Social,Finance
"Hurry, 30% off on electronics. Offer valid until stocks last!",Promotions,Social
Hey! Let's catch up over the weekend. How about we go to the movies?,Personal,Personal
It’s been so long since we talked. Hope everything’s great on your end!,Personal,Finance
I saw a great review of that restaurant you love. We should go next time!,Social,Finance
Please find attached the presentation for the upcoming meeting. Let me know if you need anything else.,Work,Work
This is to notify that all leaves are put on hold until further notice.,Work,Finance
Your tax documents are now available for download. Please log in to your account.,Finance,Personal
You have a new transaction alert for your bank account.,Finance,Finance
Can you help me with some ideas for the party next week?,Personal,Finance
Have you seen the latest trends on Twitter? Let’s discuss it!,Social,Finance
