Email_Body,Label,Predicted_Category
"Flash sale alert! 24 hours only, don’t miss it!",Promotions,Promotions
Please find attached the presentation for the upcoming meeting. Let me know if you need anything else.,Work,Promotions
I’m planning a surprise for Sarah’s birthday. Would you like to help?,Personal,Promotions
I saw a great review of that restaurant you love. We should go next time!,Social,Work
Have you seen the latest trends on Twitter? Let’s discuss it!,Social,Social
It’s been so long since we talked. Hope everything’s great on your end!,Personal,Personal
Reminder: Your credit card payment is due in 3 days.,Finance,Finance
"Team, don’t forget to complete the training by the end of the week.",Work,Work
"Flash sale alert! 24 hours only, don’t miss it!",Promotions,Promotions
"I’ve joined a new group on Instagram, it’s all about travel. You should join!",Social,Social
"Team, don’t forget to complete the training by the end of the week.",Work,Work
"Don’t forget, the end of year tax filing deadline is approaching. Make sure all forms are submitted.",Finance,Work
"Here’s a cool video I watched on YouTube today, thought you'd enjoy it!",Social,Work
Please confirm your attendance for the conference next month. The deadline is approaching.,Work,Promotions
Exclusive deal! Buy one get one free on all gadgets this weekend.,Promotions,Promotions
Limited time promotion: Get an additional 20% off with your first online order.,Promotions,Promotions
"I’ve joined a new group on Instagram, it’s all about travel. You should join!",Social,Social
Let’s meet for coffee soon. I’ve got so much to tell you!,Personal,Work
"Don’t miss out on this exclusive discount – buy more, save more on all our products.",Promotions,Promotions
Please confirm your attendance for the conference next month. The deadline is approaching.,Work,Promotions
Reminder: Your credit card payment is due in 3 days.,Finance,Finance
Please be aware that your mortgage payment is due next week.,Finance,Finance
Have you seen the latest trends on Twitter? Let’s discuss it!,Social,Social
It’s been so long since we talked. Hope everything’s great on your end!,Personal,Personal
"Check out this amazing blog about travel destinations, I think you’ll love it!",Social,Personal
Can you believe how much time has passed since our last trip? We need another one!,Personal,Work
Thank you for your recent deposit. Your new balance is now available online.,Finance,Finance
"Check out this influencer on TikTok, they’ve got great fashion tips!",Social,Promotions
"Dear Team, please submit your project reports by EOD. Regards, Manager",Work,Work
Thank you for your recent deposit. Your new balance is now available online.,Finance,Finance
"I found a great restaurant, you should try it. It’s amazing!",Personal,Work
"Hurry, 30% off on electronics. Offer valid until stocks last!",Promotions,Finance
"Hey, I’m moving into a new place this weekend. Would love your help with the unpacking!",Personal,Work
"I’ve joined a new group on Instagram, it’s all about travel. You should join!",Social,Social
Your investment portfolio has been updated. Check your account for more details.,Finance,Finance
Your tax documents are now available for download. Please log in to your account.,Finance,Work
Big clearance sale! Up to 70% off on all home appliances.,Promotions,Promotions
"Don’t miss out on this exclusive discount – buy more, save more on all our products.",Promotions,Promotions
Let’s meet for coffee soon. I’ve got so much to tell you!,Personal,Work
Hey! Let's catch up over the weekend. How about we go to the movies?,Personal,Work
Did you watch that new Netflix series I told you about? We should talk about it!,Personal,Finance
"I’ve joined a new group on Instagram, it’s all about travel. You should join!",Social,Social
You have a new transaction alert for your bank account.,Finance,Finance
Your account has been credited with a refund of $100. Please check your balance.,Finance,Finance
Have you seen the latest trends on Twitter? Let’s discuss it!,Social,Social
"Hey, I’m moving into a new place this weekend. Would love your help with the unpacking!",Personal,Work
Let’s meet for coffee soon. I’ve got so much to tell you!,Personal,Work
Seasonal sale! All winter clothing at 40% off. Get yours before they run out!,Promotions,Promotions
Kindly make sure that the quarterly budget is finalized before the board meeting.,Work,Finance
Reminder: Your credit card payment is due in 3 days.,Finance,Finance
Did you watch that new Netflix series I told you about? We should talk about it!,Personal,Finance
Can you believe how much time has passed since our last trip? We need another one!,Personal,Work
Your investment portfolio has been updated. Check your account for more details.,Finance,Finance
Kindly make sure that the quarterly budget is finalized before the board meeting.,Work,Finance
I’ve started following this YouTube channel that reviews gadgets. You should check it out!,Social,Work
"Dear colleagues, the new product launch is scheduled for next week. Be prepared.",Work,Promotions
Your tax documents are now available for download. Please log in to your account.,Finance,Work
"Don’t miss out on this exclusive discount – buy more, save more on all our products.",Promotions,Promotions
You have a new transaction alert for your bank account.,Finance,Finance
"Here’s a cool video I watched on YouTube today, thought you'd enjoy it!",Social,Work
Reminder: Your credit card payment is due in 3 days.,Finance,Finance
"Hello, I need the updated financial documents by tomorrow. Please get it done.",Work,Finance
Thank you for your recent deposit. Your new balance is now available online.,Finance,Finance
Reminder: The meeting is scheduled for 2 PM today. Make sure to attend.,Work,Promotions
You have a new transaction alert for your bank account.,Finance,Finance
Limited time promotion: Get an additional 20% off with your first online order.,Promotions,Promotions
"I found a great restaurant, you should try it. It’s amazing!",Personal,Work
I’ve started following this YouTube channel that reviews gadgets. You should check it out!,Social,Work
Your account has been credited with a refund of $100. Please check your balance.,Finance,Finance
Did you watch that new Netflix series I told you about? We should talk about it!,Personal,Finance
"I saw an interesting post on Facebook today, you should check it out!",Social,Social
Here’s a funny meme I found today. You’ll laugh so much!,Social,Work
Please find attached the presentation for the upcoming meeting. Let me know if you need anything else.,Work,Promotions
"Dear Customer, your loan application has been approved. Please review the details.",Finance,Finance
The client has requested an update on the marketing strategy. Please send the latest draft.,Work,Promotions
Have you seen the latest trends on Twitter? Let’s discuss it!,Social,Social
"Dear Customer, your loan application has been approved. Please review the details.",Finance,Finance
"Dear colleagues, the new product launch is scheduled for next week. Be prepared.",Work,Promotions
"Flash sale alert! 24 hours only, don’t miss it!",Promotions,Promotions
Let’s meet for coffee soon. I’ve got so much to tell you!,Personal,Work
"Hey, I’m moving into a new place this weekend. Would love your help with the unpacking!",Personal,Work
Free shipping on all orders this weekend only. Don’t let this opportunity pass!,Promotions,Promotions
I saw a great review of that restaurant you love. We should go next time!,Social,Work
"Hurry, 30% off on electronics. Offer valid until stocks last!",Promotions,Finance
Hey! Let's catch up over the weekend. How about we go to the movies?,Personal,Work
It’s been so long since we talked. Hope everything’s great on your end!,Personal,Personal
I saw a great review of that restaurant you love. We should go next time!,Social,Work
Please find attached the presentation for the upcoming meeting. Let me know if you need anything else.,Work,Promotions
This is to notify that all leaves are put on hold until further notice.,Work,Promotions
Your tax documents are now available for download. Please log in to your account.,Finance,Work
You have a new transaction alert for your bank account.,Finance,Finance
Can you help me with some ideas for the party next week?,Personal,Social
Have you seen the latest trends on Twitter? Let’s discuss it!,Social,Social
Hey! Let's catch up over the weekend. How about we go to the movies?,Personal,Work
Hey! Let's catch up over the weekend. How about we go to the movies?,Personal,Work
This is to notify that all leaves are put on hold until further notice.,Work,Promotions
Limited time promotion: Get an additional 20% off with your first online order.,Promotions,Promotions
"Check out this influencer on TikTok, they’ve got great fashion tips!",Social,Promotions
Seasonal sale! All winter clothing at 40% off. Get yours before they run out!,Promotions,Promotions
"Dear Customer, your loan application has been approved. Please review the details.",Finance,Finance
